,RegionName
403,Maià de Montcal
404,Maials
405,Maldà
406,Malgrat de Mar
407,Malla
408,Manlleu
409,Manresa
410,Marçà
411,Margalef
412,Marganell
413,Martorell
414,Martorelles
415,Mas de Barberans
416,Masarac
417,Masdenverge
418,Les Masies de Roda
419,Les Masies de Voltregà
420,Masllorenç
421,El Masnou
422,La Masó
423,Maspujols
424,Masquefa
425,El Masroig
426,Massalcoreig
427,Massanes
428,Massoteres
429,Matadepera
430,Mataró
431,Mediona
432,Menàrguens
433,Meranges
434,Mieres
435,El Milà
436,Miralcamp
437,Miravet
438,Moià
439,El Molar
440,Molins de Rei
441,Mollerussa
442,Mollet de Peralada
443,Mollet del Vallès
444,Molló
445,La Molsosa
446,Monistrol de Calders
447,Monistrol de Montserrat
448,Mont-ral
449,Mont-ras
450,Mont-roig del Camp
451,Montagut i Oix
452,Montblanc
453,Montbrió del Camp
454,Montcada i Reixac
455,Montclar
456,Montellà i Martinet
457,Montesquiu
458,Montferrer i Castellbò
459,Montferri
460,Montgai
461,Montgat
462,Montmajor
463,Montmaneu
464,El Montmell
465,Montmeló
466,Montoliu de Lleida
467,Montoliu de Segarra
468,Montornès de Segarra
469,Montornès del Vallès
470,Montseny
471,Móra d'Ebre
472,Móra la Nova
473,El Morell
474,La Morera de Montsant
475,Muntanyola
476,Mura
477,Nalec
478,Naut Aran
479,Navarcles
480,Navàs
481,Navata
482,Navès
483,La Nou de Berguedà
484,La Nou de Gaià
485,Nulles
486,Odèn
487,Òdena
488,Ogassa
489,Olèrdola
490,Olesa de Bonesvalls
491,Olesa de Montserrat
492,Oliana
493,Oliola
494,Olius
495,Olivella
496,Olost
497,Olot
498,Les Oluges
499,Olvan
500,Els Omellons
501,Els Omells de na Gaia
502,Ordis
503,Organyà
504,Orís
505,Oristà
506,Orpí
507,Òrrius
508,Os de Balaguer
509,Osor
510,Ossó de Sió
511,Pacs del Penedès
512,Palafolls
513,Palafrugell
514,Palamós
515,El Palau d'Anglesola
516,Palau de Santa Eulàlia
517,Palau-sator
518,Palau-saverdera
519,Palau-solità i Plegamans
520,Els Pallaresos
521,Pallejà
522,La Palma d'Ebre
523,La Palma de Cervelló
524,Palol de Revardit
525,Pals
526,El Papiol
527,Pardines
528,Parets del Vallès
529,Parlavà
530,Passanant i Belltall
531,Pau
532,Paüls
533,Pedret i Marzà
534,Penelles
535,La Pera
536,Perafita
537,Perafort
538,Peralada
539,Peramola
540,El Perelló
541,Piera
542,Les Piles
543,Pineda de Mar
544,El Pinell de Brai
545,Pinell de Solsonès
546,Pinós
547,Pira
548,El Pla de Santa Maria
549,El Pla del Penedès
550,Les Planes d'Hostoles
551,Planoles
552,Els Plans de Sió
553,El Poal
554,La Pobla de Cérvoles
555,La Pobla de Claramunt
556,La Pobla de Lillet
557,La Pobla de Mafumet
558,La Pobla de Massaluca
559,La Pobla de Montornès
560,La Pobla de Segur
561,Poboleda
562,Polinyà
563,El Pont d'Armentera
564,El Pont de Bar
565,Pont de Molins
566,El Pont de Suert
567,El Pont de Vilomara i Rocafort
568,Pontils
569,Pontons
570,Pontós
571,Ponts
572,Porqueres
573,Porrera
574,El Port de la Selva
575,Portbou
576,La Portella
577,Pradell de la Teixeta
578,Prades
579,Prat de Comte
580,El Prat de Llobregat
581,Pratdip
582,Prats de Lluçanès
583,Els Prats de Rei
584,Prats i Sansor
585,Preixana
586,Preixens
587,Premià de Dalt
588,Premià de Mar
589,Les Preses
590,Prullans
591,Puig-reig
592,Puigcerdà
593,Puigdàlber
594,Puiggròs
595,Puigpelat
596,Puigverd d'Agramunt
597,Puigverd de Lleida
598,Pujalt
599,La Quar
600,Quart
601,Queralbs
602,Querol
603,Rabós
604,Rajadell
605,Rasquera
606,Regencós
607,Rellinars
608,Renau
609,Reus
610,Rialp
611,La Riba
612,Riba-roja d'Ebre
613,Ribera d'Ondara
614,Ribera d'Urgellet
615,Ribes de Freser
616,Riells i Viabrea
617,La Riera de Gaià
618,Riner
619,Ripoll
620,Ripollet
621,Riu de Cerdanya
622,Riudarenes
623,Riudaura
624,Riudecanyes
625,Riudecols
626,Riudellots de la Selva
627,Riudoms
628,Riumors
629,La Roca del Vallès
630,Rocafort de Queralt
631,Roda de Berà
632,Roda de Ter
633,Rodonyà
634,Roquetes
635,Roses
636,Rosselló
637,El Rourell
638,Rubí
639,Rubió
640,Rupià
641,Rupit i Pruit
642,Sabadell
643,Sagàs
644,Salàs de Pallars
645,Saldes
646,Sales de Llierca
647,Sallent
648,Salomó
649,Salou
650,Salt
651,Sanaüja
652,Sant Adrià de Besòs
653,Sant Agustí de Lluçanès
654,Sant Andreu de la Barca
655,Sant Andreu de Llavaneres
656,Sant Andreu Salou
657,Sant Aniol de Finestres
658,Sant Antoni de Vilamajor
659,Sant Bartomeu del Grau
660,Sant Boi de Llobregat
661,Sant Boi de Lluçanès
662,Sant Carles de la Ràpita
663,Sant Cebrià de Vallalta
664,Sant Celoni
665,Sant Climent de Llobregat
666,Sant Climent Sescebes
667,Sant Cugat del Vallès
668,Sant Cugat Sesgarrigues
669,Sant Esteve de la Sarga
670,Sant Esteve de Palautordera
671,Sant Esteve Sesrovires
672,Sant Feliu de Buixalleu
673,Sant Feliu de Codines
674,Sant Feliu de Guíxols
675,Sant Feliu de Llobregat
676,Sant Feliu de Pallerols
677,Sant Feliu Sasserra
678,Sant Ferriol
679,Sant Fost de Campsentelles
680,Sant Fruitós de Bages
681,Sant Gregori
682,Sant Guim de Freixenet
683,Sant Guim de la Plana
684,Sant Hilari Sacalm
685,Sant Hipòlit de Voltregà
686,Sant Iscle de Vallalta
687,Sant Jaume d'Enveja
688,Sant Jaume de Frontanyà
689,Sant Jaume de Llierca
690,Sant Jaume dels Domenys
691,Sant Joan de les Abadesses
692,Sant Joan de Mollet
693,Sant Joan de Vilatorrada
694,Sant Joan Despí
695,Sant Joan les Fonts
696,Sant Jordi Desvalls
697,Sant Julià de Cerdanyola
698,Sant Julià de Ramis
699,Sant Julià de Vilatorta
700,Sant Julià del Llor i Bonmatí
701,Sant Just Desvern
702,Sant Llorenç d'Hortons
703,Sant Llorenç de la Muga
704,Sant Llorenç de Morunys
705,Sant Llorenç Savall
706,Sant Martí d'Albars
707,Sant Martí de Centelles
708,Sant Martí de Llémena
709,Sant Martí de Riucorb
710,Sant Martí de Tous
711,Sant Martí Sarroca
712,Sant Martí Sesgueioles
713,Sant Martí Vell
714,Sant Mateu de Bages
715,Sant Miquel de Campmajor
716,Sant Miquel de Fluvià
717,Sant Mori
718,Sant Pau de Segúries
719,Sant Pere de Ribes
720,Sant Pere de Riudebitlles
721,Sant Pere de Torelló
722,Sant Pere de Vilamajor
723,Sant Pere Pescador
724,Sant Pere Sallavinera
725,Sant Pol de Mar
726,Sant Quintí de Mediona
727,Sant Quirze de Besora
728,Sant Quirze del Vallès
729,Sant Quirze Safaja
730,Sant Ramon
731,Sant Sadurní d'Anoia
732,Sant Sadurní d'Osormort
733,Sant Salvador de Guardiola
734,Sant Vicenç de Castellet
735,Sant Vicenç de Montalt
736,Sant Vicenç de Torelló
737,Sant Vicenç dels Horts
738,Santa Bàrbara
739,Santa Cecília de Voltregà
740,Santa Coloma de Cervelló
741,Santa Coloma de Farners
742,Santa Coloma de Gramenet
743,Santa Coloma de Queralt
744,Santa Cristina d'Aro
745,Santa Eugènia de Berga
746,Santa Eulàlia de Riuprimer
747,Santa Eulàlia de Ronçana
748,Santa Fe del Penedès
749,Santa Llogaia d'Àlguema
750,Santa Margarida de Montbui
751,Santa Margarida i els Monjos
752,Santa Maria d'Oló
753,Santa Maria de Besora
754,Santa Maria de Martorelles
755,Santa Maria de Merlès
756,Santa Maria de Miralles
757,Santa Maria de Palautordera
758,Santa Oliva
759,Santa Pau
760,Santa Perpètua de Mogoda
761,Santa Susanna
762,Santpedor
763,Sarral
764,Sarrià de Ter
765,Sarroca de Bellera
766,Sarroca de Lleida
767,"Saus, Camallera i Llampaies"
768,Savallà del Comtat
769,La Secuita
770,La Selva de Mar
771,La Selva del Camp
772,Senan
773,La Sénia
774,Senterada
775,La Sentiu de Sió
776,Sentmenat
777,Serinyà
778,Seròs
779,Serra de Daró
780,Setcases
781,La Seu d'Urgell
782,Seva
783,Sidamon
784,Sils
785,Sitges
786,Siurana
787,Sobremunt
788,El Soleràs
789,Solivella
790,Solsona
791,Sora
792,Soriguera
793,Sort
794,Soses
795,Subirats
796,Sudanell
797,Sunyer
798,Súria
799,Susqueda
800,Tagamanent
801,Talamanca
802,Talarn
803,Talavera
804,La Tallada d'Empordà
805,Taradell
806,Tarragona
807,Tàrrega
808,Tarrés
809,Tarroja de Segarra
810,Tavèrnoles
811,Tavertet
812,Teià
813,Térmens
814,Terrades
815,Terrassa
816,Tiana
817,Tírvia
818,Tiurana
819,Tivenys
820,Tivissa
821,Tona
822,Torà
823,Tordera
824,Torelló
825,Els Torms
826,Tornabous
827,La Torre de Cabdella
828,La Torre de Claramunt
829,La Torre de Fontaubella
830,La Torre de l'Espanyol
831,Torre-serona
832,Torrebesses
833,Torredembarra
834,Torrefarrera
835,Torrefeta i Florejacs
836,Torregrossa
837,Torrelameu
838,Torrelavit
839,Torrelles de Foix
840,Torrelles de Llobregat
841,Torrent
842,Torres de Segre
843,Torroella de Fluvià
844,Torroella de Montgrí
845,Torroja del Priorat
846,Tortellà
847,Tortosa
848,Toses
849,Tossa de Mar
850,Tremp
851,Ullà
852,Ullastrell
853,Ullastret
854,Ulldecona
855,Ulldemolins
856,Ultramort
857,Urús
858,Vacarisses
859,La Vajol
860,La Vall d'en Bas
861,La Vall de Bianya
862,Vall de Boí
863,Vall de Cardós
864,Vall-llobrega
865,Vallbona d'Anoia
866,Vallbona de les Monges
867,Vallcebre
868,Vallclara
869,Vallfogona de Balaguer
870,Vallfogona de Ripollès
871,Vallfogona de Riucorb
872,Vallgorguina
873,Vallirana
874,Vallmoll
875,Vallromanes
876,Valls
877,Les Valls d'Aguilar
878,Les Valls de Valira
879,Vandellòs i l'Hospitalet de l'Infant
880,La Vansa i Fórnols
881,Veciana
882,El Vendrell
883,Ventalló
884,Verdú
885,Verges
886,Vespella de Gaià
887,Vic
888,Vidrà
889,Vidreres
890,Vielha e Mijaran
891,Vila-rodona
892,Vila-sacra
893,Vila-sana
894,Vila-seca
895,Vilabella
896,Vilabertran
897,Vilablareix
898,Vilada
899,Viladamat
900,Viladasens
901,Viladecans
902,Viladecavalls
903,Vilademuls
904,Viladrau
905,Vilafant
906,Vilafranca del Penedès
907,Vilagrassa
908,Vilajuïga
909,Vilalba dels Arcs
910,Vilalba Sasserra
911,Vilaller
912,Vilallonga de Ter
913,Vilallonga del Camp
914,Vilamacolum
915,Vilamalla
916,Vilamaniscle
917,Vilamòs
918,Vilanant
919,Vilanova d'Escornalbou
920,Vilanova de Bellpuig
921,Vilanova de l'Aguda
922,Vilanova de la Barca
923,Vilanova de Meià
924,Vilanova de Prades
925,Vilanova de Sau
926,Vilanova de Segrià
927,Vilanova del Camí
928,Vilanova del Vallès
929,Vilanova i la Geltrú
930,Vilaplana
931,Vilassar de Dalt
932,Vilassar de Mar
933,Vilaür
934,Vilaverd
935,La Vilella Alta
936,La Vilella Baixa
937,Vilobí d'Onyar
938,Vilobí del Penedès
939,Vilopriu
940,El Vilosell
941,Vimbodí i Poblet
942,Vinaixa
943,Vinebre
944,Vinyols i els Arcs
945,Viver i Serrateix
946,Xerta
